[2025-06-08T13:28:02.477Z] - Tab/app ke-1 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:28:15.356Z] - Tab/app ke-2 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:28:32.825Z] - Tab/app ke-1 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:31:24.468Z] - Tab/app ke-1 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:31:30.184Z] - Tab/app ke-3 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:31:45.001Z] - Tab/app ke-5 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:31:51.779Z] - Tab/app ke-6 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:32:12.116Z] - Tab/app ke-8 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:35:11.861Z] - Tab/app ke-1 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:35:24.648Z] - Tab/app ke-6 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:35:43.060Z] - Tab/app ke-8 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:35:46.971Z] - Tab/app ke-9 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:37:27.846Z] - Tab/app ke-1 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:37:32.375Z] - Tab/app ke-2 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:37:43.265Z] - Tab/app ke-1 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:37:47.199Z] - Tab/app ke-1 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:37:57.989Z] - Tab/app ke-1 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
[2025-06-08T13:38:02.937Z] - Tab/app ke-1 user: SERIUS, kds: SIMULASI ASAS, token: 25-1001 
